Data Source,World Development Indicators,,,,,,,,
,,,,,,,,,
Last Updated Date,7/1/20,,,,,,,,
,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2015-2018 avg
Mauritius,MUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,50.13931848,52.19132594,55.4032403,58.5961697,,54.08251361
Malawi,MWI,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.3,11.47,13.78216439,,,10.1840548
Malaysia,MYS,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.06406781,78.78830993,80.14047901,81.20104862,,77.79847634
North America,NAC,Individuals using the Internet (% of population),IT.NET.USER.ZS,76.11729383,86.11499711,87.64705022,,,83.29311372
Namibia,NAM,Individuals using the Internet (% of population),IT.NET.USER.ZS,25.68785182,31.03334594,51,,,35.90706592
New Caledonia,NCL,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.00175279,,82.0058408,,,78.0037968
Niger,NER,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.476219975,4.32275803,10.22431156,5.250487687,,5.568444313
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,36,25.67,42,,,34.55666667
Nicaragua,NIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,19.7042915,24.57183396,27.86304001,,,24.04638849
Netherlands,NLD,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.72413793,90.4109589,93.19727891,94.71207372,,92.51111237
Norway,NOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.8103,97.29820367,96.3576013,96.49165799,,96.73944074
Nepal,NPL,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.58161801,19.68876384,34,,,23.75679395
Nauru,NRU,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,57,,,57
New Zealand,NZL,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.22288882,88.47018635,90.81109307,,,89.16805608
OECD members,OED,Individuals using the Internet (% of population),IT.NET.USER.ZS,75.75611524,79.89648277,81.0066165,81.54234928,,79.55039095
Oman,OMN,Individuals using the Internet (% of population),IT.NET.USER.ZS,73.53,76.84539047,80.18563573,,,76.8536754
Other small states,OSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,43.64495106,46.29104983,52.85005036,,,47.59535042
Pakistan,PAK,Individuals using the Internet (% of population),IT.NET.USER.ZS,14,12.38544676,15.51,,,13.96514892
Panama,PAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,51.20542499,54,57.86509007,,,54.35683835
Peru,PER,Individuals using the Internet (% of population),IT.NET.USER.ZS,40.85260091,45.46174069,48.72763146,52.54031017,,46.89557081
Philippines,PHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,36,55.5,60.05476033,,,50.51825344
Palau,PLW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,#DIV/0!
